Symbol,Settings,Date,Open,High,Low,Close,Volume
HND,Ex:TSE | Src:Google,2024-09-05,95.750,95.800,87.700,90.090,273673
HND,Ex:TSE | Src:Google,2024-09-06,89.790,92.200,87.870,88.200,139138
HND,Ex:TSE | Src:Google,2024-09-09,93.340,98.250,93.060,97.900,157444
HND,Ex:TSE | Src:Google,2024-09-10,92.280,95.500,91.050,92.250,176453
HND,Ex:TSE | Src:Google,2024-09-11,91.060,92.440,88.020,90.500,203502
HND,Ex:TSE | Src:Google,2024-09-12,92.380,93.000,84.050,86.250,272360
HND,Ex:TSE | Src:Google,2024-09-13,85.710,90.140,85.150,89.510,151012
HND,Ex:TSE | Src:Google,2024-09-16,91.300,91.300,84.650,85.790,170280
HND,Ex:TSE | Src:Google,2024-09-17,83.120,88.030,82.500,88.000,196737
HND,Ex:TSE | Src:Google,2024-09-18,85.840,90.830,85.790,90.200,107614
HND,Ex:TSE | Src:Google,2024-09-19,93.120,94.510,87.990,88.120,160516
HND,Ex:TSE | Src:Google,2024-09-20,88.560,89.350,78.490,79.200,311453
HND,Ex:TSE | Src:Google,2024-09-23,76.850,77.370,71.460,71.600,360771
HND,Ex:TSE | Src:Google,2024-09-24,73.510,76.020,71.750,74.000,235855
HND,Ex:TSE | Src:Google,2024-09-25,71.940,75.000,71.470,73.560,253756
HND,Ex:TSE | Src:Google,2024-09-26,72.200,78.200,72.000,77.260,196456
HND,Ex:TSE | Src:Google,2024-09-27,73.020,73.780,67.400,68.240,457061
HND,Ex:TSE | Src:Google,2024-09-30,69.530,69.650,66.730,68.600,211382
HND,Ex:TSE | Src:Google,2024-10-01,69.330,70.970,67.000,68.260,291894
HND,Ex:TSE | Src:Google,2024-10-02,66.120,70.320,65.000,68.060,388887
HND,Ex:TSE | Src:Google,2024-10-03,66.000,67.400,64.920,65.530,372533
HND,Ex:TSE | Src:Google,2024-10-04,68.400,71.510,67.720,71.380,292190
HND,Ex:TSE | Src:Google,2024-10-07,73.540,77.220,73.500,76.260,191651
HND,Ex:TSE | Src:Google,2024-10-08,75.980,77.590,74.800,77.320,194275
HND,Ex:TSE | Src:Google,2024-10-09,78.530,81.880,77.500,81.310,158676
HND,Ex:TSE | Src:Google,2024-10-10,82.800,83.730,79.850,80.580,197891
HND,Ex:TSE | Src:Google,2024-10-11,81.820,84.820,81.550,83.790,147605
HND,Ex:TSE | Src:Google,2024-10-15,88.920,90.180,86.600,90.000,168768
HND,Ex:TSE | Src:Google,2024-10-16,91.930,96.500,91.920,95.230,109191
HND,Ex:TSE | Src:Google,2024-10-17,94.000,97.380,92.500,96.570,88379
HND,Ex:TSE | Src:Google,2024-10-18,99.670,101.250,99.600,100.150,53679
HND,Ex:TSE | Src:Google,2024-10-21,98.720,99.000,96.250,96.530,101043
HND,Ex:TSE | Src:Google,2024-10-22,96.300,96.300,90.210,92.700,178075
HND,Ex:TSE | Src:Google,2024-10-23,92.710,94.290,86.750,88.370,193299
HND,Ex:TSE | Src:Google,2024-10-24,87.420,91.300,81.680,82.030,273739
HND,Ex:TSE | Src:Google,2024-10-25,84.640,85.530,79.410,80.540,233181
HND,Ex:TSE | Src:Google,2024-10-28,91.000,95.000,90.640,93.040,267683
HND,Ex:TSE | Src:Google,2024-10-29,91.840,94.250,90.230,92.200,163343
HND,Ex:TSE | Src:Google,2024-10-30,96.220,96.830,91.800,94.500,248876
HND,Ex:TSE | Src:Google,2024-10-31,98.200,103.200,97.000,101.940,232491
HND,Ex:TSE | Src:Google,2024-11-01,101.960,107.500,100.920,105.360,156728
HND,Ex:TSE | Src:Google,2024-11-04,103.640,104.710,95.070,95.750,245036
HND,Ex:TSE | Src:Google,2024-11-05,95.000,104.940,95.000,103.540,172602
HND,Ex:TSE | Src:Google,2024-11-06,99.450,101.210,93.880,97.680,273699
HND,Ex:TSE | Src:Google,2024-11-07,101.440,103.990,99.800,100.950,218924
HND,Ex:TSE | Src:Google,2024-11-08,99.670,104.750,97.570,103.490,151285
HND,Ex:TSE | Src:Google,2024-11-11,90.000,90.000,84.590,86.660,486193
HND,Ex:TSE | Src:Google,2024-11-12,87.220,89.830,82.640,87.290,426398
HND,Ex:TSE | Src:Google,2024-11-13,89.260,90.000,81.700,81.950,469202
HND,Ex:TSE | Src:Google,2024-11-14,85.100,92.100,83.920,91.800,453712
HND,Ex:TSE | Src:Google,2024-11-15,92.420,92.680,88.250,88.700,269286
HND,Ex:TSE | Src:Google,2024-11-18,87.530,87.530,82.950,83.780,312896
HND,Ex:TSE | Src:Google,2024-11-19,83.240,84.300,78.600,82.330,407829
HND,Ex:TSE | Src:Google,2024-11-20,76.880,78.020,71.200,72.000,603803
HND,Ex:TSE | Src:Google,2024-11-21,65.850,71.530,64.670,68.360,595560
HND,Ex:TSE | Src:Google,2024-11-22,76.160,78.120,75.050,75.950,507688
HND,Ex:TSE | Src:Google,2024-11-25,69.000,71.250,63.840,70.410,1036528
HND,Ex:TSE | Src:Google,2024-11-26,68.520,71.600,66.130,67.870,618804
HND,Ex:TSE | Src:Google,2024-11-27,76.800,79.640,76.160,79.540,301818
HND,Ex:TSE | Src:Google,2024-11-28,19.450,19.500,18.460,18.750,783985
HND,Ex:TSE | Src:Google,2024-11-29,18.430,18.660,17.530,17.700,1940985
HND,Ex:TSE | Src:Google,2024-12-02,19.210,19.730,18.660,19.500,1895988
HND,Ex:TSE | Src:Google,2024-12-03,20.260,21.560,20.250,21.340,1104726
HND,Ex:TSE | Src:Google,2024-12-04,21.530,22.330,20.870,21.150,1221499
HND,Ex:TSE | Src:Google,2024-12-05,20.620,21.320,19.900,21.000,1410948
HND,Ex:TSE | Src:Google,2024-12-06,21.320,21.470,20.640,20.860,1315622
HND,Ex:TSE | Src:Google,2024-12-09,19.770,20.300,19.230,19.800,1866894
HND,Ex:TSE | Src:Google,2024-12-10,20.860,21.100,19.690,19.770,1610963
HND,Ex:TSE | Src:Google,2024-12-11,18.650,18.650,17.450,17.920,2908583
HND,Ex:TSE | Src:Google,2024-12-12,17.780,18.260,16.310,17.050,2336573
HND,Ex:TSE | Src:Google,2024-12-13,17.770,18.410,17.690,18.230,1655082
HND,Ex:TSE | Src:Google,2024-12-16,19.130,19.300,18.760,19.050,1127506
HND,Ex:TSE | Src:Google,2024-12-17,19.910,20.490,17.900,17.960,2193975
HND,Ex:TSE | Src:Google,2024-12-18,17.820,18.310,17.320,17.780,1629056
HND,Ex:TSE | Src:Google,2024-12-19,17.010,17.150,15.610,15.650,2918861
HND,Ex:TSE | Src:Google,2024-12-20,15.820,16.230,14.380,14.720,3276678
HND,Ex:TSE | Src:Google,2024-12-23,15.050,15.900,14.950,15.120,3453478
HND,Ex:TSE | Src:Google,2024-12-24,14.430,14.500,14.000,14.110,1210799
HND,Ex:TSE | Src:Google,2024-12-27,14.750,15.590,14.570,14.740,2596529
HND,Ex:TSE | Src:Google,2024-12-30,9.490,11.120,7.740,10.300,8095147
HND,Ex:TSE | Src:Google,2024-12-31,11.250,11.880,10.880,11.630,3134421
HND,Ex:TSE | Src:Google,2025-01-02,11.030,11.600,10.550,11.400,3558052
HND,Ex:TSE | Src:Google,2025-01-03,12.500,13.480,12.410,13.310,2076336
HND,Ex:TSE | Src:Google,2025-01-06,11.190,11.760,10.570,10.670,6029143
HND,Ex:TSE | Src:Google,2025-01-07,11.310,12.270,11.230,12.170,3257936
HND,Ex:TSE | Src:Google,2025-01-08,11.380,11.460,10.610,10.640,4712429
HND,Ex:TSE | Src:Google,2025-01-09,10.340,10.450,9.690,10.330,4678798
HND,Ex:TSE | Src:Google,2025-01-10,9.400,9.680,9.210,9.260,5858098
