Symbol,Settings,Date,Open,High,Low,Close,Volume
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-14,20.050,21.530,19.980,21.440,196081
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-18,20.860,21.210,20.600,20.730,43231
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-19,20.840,21.100,20.180,20.480,59479
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-20,20.400,20.400,19.570,20.050,75354
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-21,20.200,21.240,20.090,21.240,152180
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-24,20.820,21.710,20.700,20.800,104820
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-25,21.050,22.150,21.010,21.180,169501
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-26,21.650,21.850,20.200,20.230,108644
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-27,20.770,21.520,20.400,21.520,101853
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-02-28,22.070,22.590,21.090,21.090,109834
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-03-03,20.590,21.300,20.150,21.150,76846
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-03-04,20.710,21.690,20.300,21.000,90608
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-03-05,21.130,21.210,19.580,19.600,142012
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-03-06,19.800,20.450,19.510,20.200,80682
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-03-07,19.920,20.350,19.020,19.700,112789
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-03-10,20.050,21.200,19.840,20.910,93609
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-03-11,20.450,20.460,19.030,19.410,149661
HGD,Ex:TSE | Src:Yahoo JSON (forced),2025-03-12,19.710,19.710,19.010,19.160,95176
