Symbol,Settings,Date,Open,High,Low,Close,Volume
VFV,Ex:TSE | Src:Google,2021-07-02,95.000,95.240,94.940,95.130,88388
VFV,Ex:TSE | Src:Google,2021-07-05,95.580,95.580,95.240,95.570,111395
VFV,Ex:TSE | Src:Google,2021-07-06,95.730,96.040,95.500,96.040,158019
VFV,Ex:TSE | Src:Google,2021-07-07,96.140,96.650,95.990,96.530,127340
VFV,Ex:TSE | Src:Google,2021-07-08,95.750,96.260,95.520,96.030,136172
VFV,Ex:TSE | Src:Google,2021-07-09,96.290,96.630,96.150,96.480,91185
VFV,Ex:TSE | Src:Google,2021-07-12,96.860,96.960,96.720,96.870,117729
VFV,Ex:TSE | Src:Google,2021-07-13,97.230,97.530,97.010,97.010,92749
VFV,Ex:TSE | Src:Google,2021-07-14,97.080,97.420,96.740,97.100,181183
VFV,Ex:TSE | Src:Google,2021-07-15,97.200,97.570,96.950,97.470,161528
VFV,Ex:TSE | Src:Google,2021-07-16,97.730,97.730,96.780,96.830,373292
VFV,Ex:TSE | Src:Google,2021-07-19,96.780,96.780,95.840,96.330,1721476
VFV,Ex:TSE | Src:Google,2021-07-20,96.760,97.780,96.600,97.280,749849
VFV,Ex:TSE | Src:Google,2021-07-21,97.450,97.520,96.700,97.180,162103
VFV,Ex:TSE | Src:Google,2021-07-22,97.250,97.460,97.010,97.390,78227
VFV,Ex:TSE | Src:Google,2021-07-23,97.920,98.480,97.880,98.400,123657
VFV,Ex:TSE | Src:Google,2021-07-26,98.410,98.480,98.040,98.430,96990
VFV,Ex:TSE | Src:Google,2021-07-27,98.500,98.500,97.660,98.360,139009
VFV,Ex:TSE | Src:Google,2021-07-28,98.480,98.520,97.870,97.870,151639
VFV,Ex:TSE | Src:Google,2021-07-29,97.850,97.940,97.640,97.640,97305
VFV,Ex:TSE | Src:Google,2021-07-30,97.060,97.510,96.950,97.380,109556
VFV,Ex:TSE | Src:Google,2021-08-03,97.880,98.400,97.560,98.360,122387
VFV,Ex:TSE | Src:Google,2021-08-04,98.200,98.350,98.000,98.080,103856
VFV,Ex:TSE | Src:Google,2021-08-05,98.090,98.280,97.900,98.280,108099
VFV,Ex:TSE | Src:Google,2021-08-06,98.590,99.010,98.560,98.910,89946
VFV,Ex:TSE | Src:Google,2021-08-09,98.740,99.060,98.580,98.970,82051
VFV,Ex:TSE | Src:Google,2021-08-10,99.150,99.150,98.540,98.680,121672
VFV,Ex:TSE | Src:Google,2021-08-11,98.900,98.900,98.540,98.740,72395
VFV,Ex:TSE | Src:Google,2021-08-12,98.920,99.250,98.600,99.150,60441
VFV,Ex:TSE | Src:Google,2021-08-13,99.450,99.450,99.140,99.310,63421
VFV,Ex:TSE | Src:Google,2021-08-16,99.400,100.000,99.100,100.000,108895
VFV,Ex:TSE | Src:Google,2021-08-17,99.870,99.960,99.250,99.710,121635
VFV,Ex:TSE | Src:Google,2021-08-18,99.670,99.900,98.880,98.880,109334
VFV,Ex:TSE | Src:Google,2021-08-19,98.500,100.630,98.490,100.350,188941
VFV,Ex:TSE | Src:Google,2021-08-20,101.000,101.370,100.940,101.220,123658
VFV,Ex:TSE | Src:Google,2021-08-23,100.860,101.260,100.710,100.710,154482
VFV,Ex:TSE | Src:Google,2021-08-24,100.700,100.730,100.390,100.450,102591
VFV,Ex:TSE | Src:Google,2021-08-25,101.000,101.000,100.620,100.620,102512
VFV,Ex:TSE | Src:Google,2021-08-26,100.750,101.030,100.450,100.770,92825
VFV,Ex:TSE | Src:Google,2021-08-27,101.080,101.200,100.760,101.100,165515
VFV,Ex:TSE | Src:Google,2021-08-30,101.100,101.670,100.980,101.450,110066
VFV,Ex:TSE | Src:Google,2021-08-31,101.470,101.830,101.300,101.430,175302
VFV,Ex:TSE | Src:Google,2021-09-01,101.620,101.690,101.370,101.480,122819
VFV,Ex:TSE | Src:Google,2021-09-02,102.130,102.130,101.040,101.190,148136
VFV,Ex:TSE | Src:Google,2021-09-03,101.200,101.210,100.750,100.990,127047
VFV,Ex:TSE | Src:Google,2021-09-07,101.520,101.760,101.130,101.690,127735
VFV,Ex:TSE | Src:Google,2021-09-08,101.780,102.130,101.400,101.820,260982
VFV,Ex:TSE | Src:Google,2021-09-09,101.650,101.950,101.000,101.100,300841
VFV,Ex:TSE | Src:Google,2021-09-10,101.150,101.170,100.490,100.530,188869
VFV,Ex:TSE | Src:Google,2021-09-13,100.950,101.110,100.190,100.550,176137
VFV,Ex:TSE | Src:Google,2021-09-14,100.530,100.660,100.080,100.300,123533
VFV,Ex:TSE | Src:Google,2021-09-15,100.180,100.770,99.980,100.650,162195
VFV,Ex:TSE | Src:Google,2021-09-16,100.950,101.110,100.330,100.900,99575
VFV,Ex:TSE | Src:Google,2021-09-17,100.720,100.830,100.380,100.540,113472
VFV,Ex:TSE | Src:Google,2021-09-20,99.530,99.870,98.320,99.320,347340
VFV,Ex:TSE | Src:Google,2021-09-21,99.700,100.000,99.230,99.250,158930
VFV,Ex:TSE | Src:Google,2021-09-22,99.750,100.020,99.530,99.700,264905
VFV,Ex:TSE | Src:Google,2021-09-23,99.680,100.440,99.460,100.180,171009
VFV,Ex:TSE | Src:Google,2021-09-24,100.180,100.560,100.120,100.330,85300
VFV,Ex:TSE | Src:Google,2021-09-27,100.390,100.390,99.670,99.790,133242
VFV,Ex:TSE | Src:Google,2021-09-28,99.490,99.490,98.150,98.220,238963
VFV,Ex:TSE | Src:Google,2021-09-29,98.480,99.130,98.260,98.600,130439
VFV,Ex:TSE | Src:Google,2021-09-30,98.730,98.950,96.780,96.780,298986
VFV,Ex:TSE | Src:Google,2021-10-01,97.100,98.000,96.280,97.600,251236
VFV,Ex:TSE | Src:Google,2021-10-04,97.140,97.220,95.520,95.960,255513
VFV,Ex:TSE | Src:Google,2021-10-05,96.400,97.490,96.260,97.010,115108
VFV,Ex:TSE | Src:Google,2021-10-06,96.500,97.460,96.230,97.460,200019
VFV,Ex:TSE | Src:Google,2021-10-07,98.350,98.770,97.880,97.890,148338
VFV,Ex:TSE | Src:Google,2021-10-08,97.830,97.850,97.140,97.160,162001
VFV,Ex:TSE | Src:Google,2021-10-12,96.890,96.890,96.030,96.180,206928
VFV,Ex:TSE | Src:Google,2021-10-13,96.470,96.470,95.680,96.320,125963
VFV,Ex:TSE | Src:Google,2021-10-14,96.810,97.470,96.640,97.460,141416
VFV,Ex:TSE | Src:Google,2021-10-15,98.150,98.370,97.820,98.210,149084
VFV,Ex:TSE | Src:Google,2021-10-18,98.040,98.620,97.660,98.560,137957
VFV,Ex:TSE | Src:Google,2021-10-19,98.960,99.200,98.650,99.200,122119
VFV,Ex:TSE | Src:Google,2021-10-20,99.250,99.350,98.980,99.210,106004
VFV,Ex:TSE | Src:Google,2021-10-21,99.250,99.940,98.980,99.940,97456
VFV,Ex:TSE | Src:Google,2021-10-22,100.000,100.010,99.410,99.780,156891
VFV,Ex:TSE | Src:Google,2021-10-25,100.030,100.510,99.730,100.350,128709
VFV,Ex:TSE | Src:Google,2021-10-26,100.540,101.020,100.500,100.550,119573
