Symbol,Settings,Date,Open,High,Low,Close,Volume
HNU,Ex:TSE | Src:Google,2024-07-25,2.720,2.780,2.570,2.610,6576565
HNU,Ex:TSE | Src:Google,2024-07-26,2.580,2.620,2.510,2.520,4900595
HNU,Ex:TSE | Src:Google,2024-07-29,2.520,2.570,2.420,2.550,4794845
HNU,Ex:TSE | Src:Google,2024-07-30,2.430,2.740,2.410,2.700,4795515
HNU,Ex:TSE | Src:Google,2024-07-31,2.560,2.620,2.460,2.510,7501181
HNU,Ex:TSE | Src:Google,2024-08-01,2.670,2.700,2.320,2.350,9428083
HNU,Ex:TSE | Src:Google,2024-08-02,2.420,2.450,2.210,2.320,5888194
HNU,Ex:TSE | Src:Google,2024-08-06,2.410,2.470,2.310,2.430,6648976
HNU,Ex:TSE | Src:Google,2024-08-07,2.600,2.680,2.540,2.620,6233660
HNU,Ex:TSE | Src:Google,2024-08-08,2.520,2.830,2.470,2.750,6891693
HNU,Ex:TSE | Src:Google,2024-08-09,2.770,2.810,2.660,2.800,4296074
HNU,Ex:TSE | Src:Google,2024-08-12,2.900,2.950,2.790,2.850,4743402
HNU,Ex:TSE | Src:Google,2024-08-13,2.920,2.960,2.690,2.760,5692427
HNU,Ex:TSE | Src:Google,2024-08-14,2.890,3.000,2.840,2.890,6974832
HNU,Ex:TSE | Src:Google,2024-08-15,2.890,3.070,2.830,2.840,6585310
HNU,Ex:TSE | Src:Google,2024-08-16,2.750,2.780,2.620,2.650,5084194
HNU,Ex:TSE | Src:Google,2024-08-19,2.790,2.940,2.790,2.870,5943443
HNU,Ex:TSE | Src:Google,2024-08-20,2.820,2.860,2.770,2.850,3487598
HNU,Ex:TSE | Src:Google,2024-08-21,2.840,2.870,2.690,2.820,5086478
HNU,Ex:TSE | Src:Google,2024-08-22,2.660,2.680,2.440,2.520,9917113
HNU,Ex:TSE | Src:Google,2024-08-23,2.430,2.500,2.420,2.490,3176177
HNU,Ex:TSE | Src:Google,2024-08-26,2.420,2.490,2.320,2.350,4791712
